date,time,currency,impact,actual,forecast,previous,day,event,detail,timezone
01/12/2009,,USD,red,3.7%,-0.4%,6.0%,Tue,,,Africa/Lagos
01/12/2009,,USD,yellow,0.0%,-0.4%,-1.6%,Tue,,,Africa/Lagos
01/12/2009,,USD,yellow,55.0,65.1,65.0,Tue,,,Africa/Lagos
01/12/2009,All Day,USD,yellow,10.9M,10.5M,10.5M,Tue,,,Africa/Lagos
01/12/2009,23:50,JPY,yellow,3.8%,4.7%,4.4%,Tue,,,Africa/Lagos
02/12/2009,08:00,EUR,yellow,60.6K,,98.9K,Wed,,,Africa/Lagos
02/12/2009,08:20,GBP,orange,,,,Wed,,,Africa/Lagos
02/12/2009,All Day,EUR,yellow,,,,Wed,,,Africa/Lagos
02/12/2009,09:30,GBP,orange,47.0,46.9,46.2,Wed,,,Africa/Lagos
02/12/2009,09:41,GBP,yellow,4.16|1.7,,4.17|1.6,Wed,,,Africa/Lagos
02/12/2009,10:00,EUR,yellow,0.2%,0.1%,-0.4%,Wed,,,Africa/Lagos
02/12/2009,12:30,USD,yellow,-72.3%,,-50.7%,Wed,,,Africa/Lagos
02/12/2009,13:15,USD,red,-169K,-149K,-195K,Wed,,,Africa/Lagos
02/12/2009,15:30,USD,orange,2.1M,-0.4M,1.0M,Wed,,,Africa/Lagos
02/12/2009,18:15,USD,orange,,,,Wed,,,Africa/Lagos
02/12/2009,19:00,USD,orange,,,,Wed,,,Africa/Lagos
02/12/2009,22:30,AUD,yellow,52.5,,54.8,Wed,,,Africa/Lagos
02/12/2009,23:50,JPY,orange,-24.8%,-15.8%,-21.7%,Wed,,,Africa/Lagos
03/12/2009,00:30,AUD,red,0.3%,0.4%,-0.2%,Thu,,,Africa/Lagos
03/12/2009,01:00,CNY,yellow,52.3,,62.1,Thu,,,Africa/Lagos
03/12/2009,02:03,NZD,yellow,10.5%,,4.7%,Thu,,,Africa/Lagos
03/12/2009,08:15,EUR,yellow,46.1,,47.7,Thu,,,Africa/Lagos
03/12/2009,08:45,EUR,yellow,49.8,52.2,52.2,Thu,,,Africa/Lagos
03/12/2009,08:50,EUR,yellow,60.9,60.4,60.4,Thu,,,Africa/Lagos
03/12/2009,08:55,EUR,yellow,51.4,51.5,51.5,Thu,,,Africa/Lagos
03/12/2009,09:00,EUR,yellow,53.0,53.3,53.2,Thu,,,Africa/Lagos
03/12/2009,09:30,GBP,red,56.6,57.1,56.9,Thu,,,Africa/Lagos
03/12/2009,10:00,EUR,orange,0.0%,0.2%,-0.5%,Thu,,,Africa/Lagos
03/12/2009,,EUR,yellow,0.4%,0.4%,0.4%,Thu,,,Africa/Lagos
03/12/2009,12:45,EUR,red,1.00%,1.00%,1.00%,Thu,,,Africa/Lagos
03/12/2009,13:30,EUR,red,,,,Thu,,,Africa/Lagos
03/12/2009,,USD,red,457K,479K,462K,Thu,,,Africa/Lagos
03/12/2009,,USD,orange,8.1%,8.5%,9.5%,Thu,,,Africa/Lagos
03/12/2009,,USD,yellow,-2.5%,-4.3%,-5.2%,Thu,,,Africa/Lagos
03/12/2009,15:00,EUR,orange,,,,Thu,,,Africa/Lagos
03/12/2009,,USD,red,,,,Thu,,,Africa/Lagos
03/12/2009,,USD,red,48.7,51.6,50.6,Thu,,,Africa/Lagos
03/12/2009,15:30,USD,yellow,2B,1B,2B,Thu,,,Africa/Lagos
04/12/2009,08:00,CHF,red,95B,,90B,Fri,,,Africa/Lagos
04/12/2009,08:15,CHF,orange,0.2%,0.1%,0.6%,Fri,,,Africa/Lagos
04/12/2009,12:00,CAD,red,79.1K,15.3K,-43.2K,Fri,,,Africa/Lagos
04/12/2009,,CAD,red,8.5%,8.6%,8.6%,Fri,,,Africa/Lagos
04/12/2009,13:30,USD,red,-11K,-119K,-111K,Fri,,,Africa/Lagos
04/12/2009,,USD,red,10.0%,10.2%,10.2%,Fri,,,Africa/Lagos
04/12/2009,,USD,orange,0.1%,0.2%,0.3%,Fri,,,Africa/Lagos
04/12/2009,15:00,CAD,red,55.9,60.4,61.2,Fri,,,Africa/Lagos
04/12/2009,,USD,orange,0.6%,0.1%,1.6%,Fri,,,Africa/Lagos
06/12/2009,22:30,AUD,yellow,47.6,,50.9,Sun,,,Africa/Lagos
07/12/2009,00:30,AUD,orange,5.2%,,-1.7%,Mon,,,Africa/Lagos
07/12/2009,08:00,EUR,orange,,,,Mon,,,Africa/Lagos
07/12/2009,08:15,CHF,red,3.1%,1.2%,-2.1%,Mon,,,Africa/Lagos
07/12/2009,09:30,EUR,yellow,-5.5,-4.3,-7.0,Mon,,,Africa/Lagos
07/12/2009,11:00,EUR,orange,-2.1%,0.6%,1.3%,Mon,,,Africa/Lagos
07/12/2009,13:00,EUR,red,,,,Mon,,,Africa/Lagos
07/12/2009,13:30,CAD,red,18.0%,1.1%,3.2%,Mon,,,Africa/Lagos
07/12/2009,17:45,USD,red,,,,Mon,,,Africa/Lagos
07/12/2009,20:00,USD,yellow,-3.5B,-9.6B,-8.8B,Mon,,,Africa/Lagos
07/12/2009,21:45,NZD,yellow,-5.1%,,-4.8%,Mon,,,Africa/Lagos
07/12/2009,22:45,USD,yellow,,,,Mon,,,Africa/Lagos
07/12/2009,23:50,JPY,yellow,0.2%,,1.4%,Mon,,,Africa/Lagos
07/12/2009,,JPY,yellow,1.38T,1.59T,1.34T,Mon,,,Africa/Lagos
07/12/2009,,JPY,yellow,3.3%,3.5%,3.4%,Mon,,,Africa/Lagos
08/12/2009,00:01,GBP,orange,1.8%,,3.8%,Tue,,,Africa/Lagos
08/12/2009,00:30,AUD,orange,-16.2B,-16.7B,-13.1B,Tue,,,Africa/Lagos
08/12/2009,,AUD,orange,19,,16,Tue,,,Africa/Lagos
08/12/2009,03:45,JPY,yellow,2.21|3.5,,2.14|3.3,Tue,,,Africa/Lagos
08/12/2009,05:00,JPY,yellow,89.7%,88.7%,87.5%,Tue,,,Africa/Lagos
08/12/2009,05:30,JPY,yellow,33.9,40.3,40.9,Tue,,,Africa/Lagos
08/12/2009,All Day,EUR,gray,,,,Tue,,,Africa/Lagos
08/12/2009,08:03,EUR,yellow,-134.8B,,-125.8B,Tue,,,Africa/Lagos
08/12/2009,09:00,GBP,red,1.4%,0.8%,1.1%,Tue,,,Africa/Lagos
08/12/2009,09:25,AUD,red,,,,Tue,,,Africa/Lagos
08/12/2009,09:30,GBP,red,0.0%,0.5%,1.5%,Tue,,,Africa/Lagos
08/12/2009,,GBP,yellow,0.0%,0.5%,1.3%,Tue,,,Africa/Lagos
08/12/2009,10:37,GBP,yellow,3.79|1.8,,3.92|2.0,Tue,,,Africa/Lagos
08/12/2009,11:00,EUR,orange,-1.8%,1.1%,3.1%,Tue,,,Africa/Lagos
08/12/2009,,GBP,orange,-42,-42,-45,Tue,,,Africa/Lagos
08/12/2009,12:30,USD,yellow,88.3,,89.1,Tue,,,Africa/Lagos
08/12/2009,13:11,CAD,red,159K,159K,157K,Tue,,,Africa/Lagos
08/12/2009,14:00,CAD,red,,,,Tue,,,Africa/Lagos
08/12/2009,,CAD,red,0.25%,0.25%,0.25%,Tue,,,Africa/Lagos
08/12/2009,15:00,GBP,orange,0.2%,,-0.4%,Tue,,,Africa/Lagos
08/12/2009,,USD,yellow,2.51M,,2.59M,Tue,,,Africa/Lagos
08/12/2009,,USD,yellow,46.8,49.5,47.9,Tue,,,Africa/Lagos
08/12/2009,23:30,AUD,orange,-3.8%,,-2.5%,Tue,,,Africa/Lagos
08/12/2009,23:50,JPY,orange,0.3%,0.8%,1.2%,Tue,,,Africa/Lagos
08/12/2009,,JPY,yellow,-0.5%,0.2%,0.2%,Tue,,,Africa/Lagos
09/12/2009,00:01,GBP,orange,73,71,73,Wed,,,Africa/Lagos
09/12/2009,,GBP,yellow,0.2%,,0.0%,Wed,,,Africa/Lagos
09/12/2009,00:30,AUD,red,-2.38B,-1.75B,-1.85B,Wed,,,Africa/Lagos
09/12/2009,,AUD,red,-1.4%,-1.9%,3.3%,Wed,,,Africa/Lagos
09/12/2009,04:36,NZD,red,0.5%,,-0.1%,Wed,,,Africa/Lagos
09/12/2009,,NZD,orange,0.0%,,0.3%,Wed,,,Africa/Lagos
09/12/2009,06:00,JPY,yellow,-8.6%,,-42.5%,Wed,,,Africa/Lagos
09/12/2009,06:45,CHF,yellow,4.1%,4.2%,4.1%,Wed,,,Africa/Lagos
09/12/2009,07:00,EUR,yellow,-0.1%,-0.2%,-0.2%,Wed,,,Africa/Lagos
09/12/2009,,EUR,yellow,12.9B,10.4B,9.8B,Wed,,,Africa/Lagos
09/12/2009,07:45,EUR,yellow,-4.4B,-2.3B,-2.8B,Wed,,,Africa/Lagos
09/12/2009,09:30,GBP,orange,-7.1B,-6.9B,-6.9B,Wed,,,Africa/Lagos
09/12/2009,11:00,EUR,orange,,,,Wed,,,Africa/Lagos
09/12/2009,12:30,GBP,red,,,,Wed,,,Africa/Lagos
09/12/2009,13:40,USD,yellow,,,,Wed,,,Africa/Lagos
09/12/2009,15:00,USD,yellow,0.3%,-0.6%,-0.8%,Wed,,,Africa/Lagos
09/12/2009,15:30,USD,orange,-3.8M,0.7M,2.1M,Wed,,,Africa/Lagos
09/12/2009,18:00,USD,orange,3.45|2.6,,3.47|2.8,Wed,,,Africa/Lagos
09/12/2009,20:00,NZD,red,2.50%,2.50%,2.50%,Wed,,,Africa/Lagos
09/12/2009,,NZD,red,,,,Wed,,,Africa/Lagos
09/12/2009,,NZD,red,,,,Wed,,,Africa/Lagos
09/12/2009,,NZD,orange,,,,Wed,,,Africa/Lagos
09/12/2009,21:30,NZD,yellow,51.8,,50.5,Wed,,,Africa/Lagos
09/12/2009,21:45,NZD,yellow,-1.3%,-2.3%,-9.4%,Wed,,,Africa/Lagos
09/12/2009,23:50,JPY,orange,-4.5%,-4.4%,10.5%,Wed,,,Africa/Lagos
09/12/2009,,JPY,yellow,-4.9%,-5.1%,-6.8%,Wed,,,Africa/Lagos
10/12/2009,00:00,AUD,orange,3.6%,,3.2%,Thu,,,Africa/Lagos
10/12/2009,00:30,AUD,red,31.2K,5.3K,27.2K,Thu,,,Africa/Lagos
10/12/2009,,AUD,red,5.7%,5.9%,5.8%,Thu,,,Africa/Lagos
10/12/2009,01:45,AUD,orange,,,,Thu,,,Africa/Lagos
10/12/2009,07:00,EUR,yellow,0.7%,0.3%,-0.4%,Thu,,,Africa/Lagos
10/12/2009,07:45,EUR,orange,-0.8%,0.6%,-1.2%,Thu,,,Africa/Lagos
10/12/2009,,EUR,yellow,-0.6%,0.0%,0.0%,Thu,,,Africa/Lagos
10/12/2009,08:30,CHF,red,0.25%,0.25%,0.25%,Thu,,,Africa/Lagos
10/12/2009,,CHF,red,,,,Thu,,,Africa/Lagos
10/12/2009,,CHF,red,,,,Thu,,,Africa/Lagos
10/12/2009,09:00,EUR,orange,,,,Thu,,,Africa/Lagos
10/12/2009,,EUR,yellow,0.5%,1.6%,-5.1%,Thu,,,Africa/Lagos
10/12/2009,09:38,EUR,yellow,3.89|2.1,,3.87|2.2,Thu,,,Africa/Lagos
10/12/2009,11:28,GBP,yellow,1.0%,,1.1%,Thu,,,Africa/Lagos
10/12/2009,12:00,GBP,red,200B,200B,200B,Thu,,,Africa/Lagos
10/12/2009,,GBP,red,,,,Thu,,,Africa/Lagos
10/12/2009,,GBP,red,0.50%,0.50%,0.50%,Thu,,,Africa/Lagos
10/12/2009,13:30,CAD,red,0.4B,-0.6B,-0.9B,Thu,,,Africa/Lagos
10/12/2009,,USD,red,-32.9B,-36.9B,-35.7B,Thu,,,Africa/Lagos
10/12/2009,,USD,red,474K,463K,457K,Thu,,,Africa/Lagos
10/12/2009,15:30,USD,yellow,-64B,-45B,2B,Thu,,,Africa/Lagos
10/12/2009,17:30,EUR,orange,,,,Thu,,,Africa/Lagos
10/12/2009,18:00,USD,yellow,4.52|2.4,,4.47|2.3,Thu,,,Africa/Lagos
10/12/2009,18:45,USD,yellow,,,,Thu,,,Africa/Lagos
10/12/2009,19:00,USD,orange,-120.3B,-136.0B,-176.4B,Thu,,,Africa/Lagos
10/12/2009,21:49,NZD,yellow,-0.3%,,-1.5%,Thu,,,Africa/Lagos
11/12/2009,02:00,CNY,red,19.2%,18.2%,16.1%,Fri,,,Africa/Lagos
11/12/2009,,CNY,orange,0.6%,0.5%,-0.5%,Fri,,,Africa/Lagos
11/12/2009,,CNY,orange,32.1%,33.1%,33.1%,Fri,,,Africa/Lagos
11/12/2009,,CNY,orange,,,,Fri,,,Africa/Lagos
11/12/2009,,CNY,orange,-2.1%,-2.3%,-5.8%,Fri,,,Africa/Lagos
11/12/2009,,CNY,yellow,15.8%,16.6%,16.2%,Fri,,,Africa/Lagos
11/12/2009,02:05,CNY,orange,295B,,253B,Fri,,,Africa/Lagos
11/12/2009,,CNY,yellow,29.7%,29.0%,29.4%,Fri,,,Africa/Lagos
11/12/2009,03:02,CNY,red,19.1B,24.0B,24.0B,Fri,,,Africa/Lagos
11/12/2009,05:00,JPY,yellow,39.5,40.6,40.5,Fri,,,Africa/Lagos
11/12/2009,09:30,GBP,red,0.1%,0.6%,2.9%,Fri,,,Africa/Lagos
11/12/2009,,GBP,yellow,0.2%,0.4%,0.3%,Fri,,,Africa/Lagos
11/12/2009,12:15,EUR,orange,,,,Fri,,,Africa/Lagos
11/12/2009,13:30,CAD,orange,0.3%,,0.5%,Fri,,,Africa/Lagos
11/12/2009,,USD,red,1.2%,0.5%,0.0%,Fri,,,Africa/Lagos
11/12/2009,,USD,red,1.3%,0.6%,1.1%,Fri,,,Africa/Lagos
11/12/2009,,USD,orange,1.7%,1.2%,0.8%,Fri,,,Africa/Lagos
11/12/2009,14:55,USD,red,73.4,68.6,67.4,Fri,,,Africa/Lagos
11/12/2009,,USD,yellow,2.1%,,2.7%,Fri,,,Africa/Lagos
11/12/2009,15:00,USD,orange,0.2%,-0.3%,-0.5%,Fri,,,Africa/Lagos
13/12/2009,21:00,NZD,orange,0.2%,,1.3%,Sun,,,Africa/Lagos
13/12/2009,23:50,JPY,red,-24,-26,-33,Sun,,,Africa/Lagos
13/12/2009,,JPY,orange,-22,-23,-24,Sun,,,Africa/Lagos
14/12/2009,00:01,GBP,orange,-2.2%,,-1.6%,Mon,,,Africa/Lagos
14/12/2009,04:30,JPY,yellow,0.5%,0.5%,0.5%,Mon,,,Africa/Lagos
14/12/2009,08:15,CHF,orange,0.0%,0.2%,-0.4%,Mon,,,Africa/Lagos
14/12/2009,10:00,EUR,orange,-0.6%,-0.6%,0.2%,Mon,,,Africa/Lagos
14/12/2009,,EUR,yellow,-0.5%,,-0.5%,Mon,,,Africa/Lagos
14/12/2009,11:00,EUR,yellow,,,,Mon,,,Africa/Lagos
14/12/2009,13:30,CAD,yellow,67.5%,67.5%,67.7%,Mon,,,Africa/Lagos
14/12/2009,15:30,CAD,yellow,,,,Mon,,,Africa/Lagos
15/12/2009,00:01,GBP,orange,35%,39%,34%,Tue,,,Africa/Lagos
15/12/2009,00:30,AUD,red,,,,Tue,,,Africa/Lagos
15/12/2009,,AUD,yellow,9.4%,6.4%,-1.9%,Tue,,,Africa/Lagos
15/12/2009,06:45,CHF,orange,,,,Tue,,,Africa/Lagos
15/12/2009,07:45,EUR,yellow,0.1%,0.3%,0.1%,Tue,,,Africa/Lagos
15/12/2009,08:15,CHF,orange,3.4%,0.4%,3.4%,Tue,,,Africa/Lagos
15/12/2009,09:30,GBP,red,1.9%,1.8%,1.5%,Tue,,,Africa/Lagos
15/12/2009,,GBP,orange,0.3%,0.2%,-0.8%,Tue,,,Africa/Lagos
15/12/2009,,GBP,yellow,1.9%,1.8%,1.8%,Tue,,,Africa/Lagos
15/12/2009,,GBP,yellow,-2.2%,-2.3%,-4.1%,Tue,,,Africa/Lagos
15/12/2009,10:00,EUR,red,50.4,50.1,51.1,Tue,,,Africa/Lagos
15/12/2009,,EUR,orange,48.0,50.9,51.8,Tue,,,Africa/Lagos
15/12/2009,13:30,CAD,orange,-0.2%,-0.4%,0.1%,Tue,,,Africa/Lagos
15/12/2009,,CAD,orange,1.3%,0.6%,0.7%,Tue,,,Africa/Lagos
15/12/2009,,CAD,yellow,3.5%,3.1%,1.5%,Tue,,,Africa/Lagos
15/12/2009,,USD,red,1.8%,0.8%,0.3%,Tue,,,Africa/Lagos
15/12/2009,,USD,orange,0.5%,0.3%,-0.6%,Tue,,,Africa/Lagos
15/12/2009,,USD,orange,2.6,24.7,23.5,Tue,,,Africa/Lagos
15/12/2009,14:00,USD,red,20.7B,38.3B,40.7B,Tue,,,Africa/Lagos
15/12/2009,14:15,USD,orange,71.3%,71.1%,70.6%,Tue,,,Africa/Lagos
15/12/2009,,USD,orange,0.8%,0.6%,0.0%,Tue,,,Africa/Lagos
15/12/2009,16:40,CHF,orange,,,,Tue,,,Africa/Lagos
15/12/2009,18:00,USD,yellow,16,18,17,Tue,,,Africa/Lagos
15/12/2009,23:30,AUD,orange,0.4%,,1.1%,Tue,,,Africa/Lagos
15/12/2009,23:50,JPY,orange,0.5%,0.5%,-0.6%,Tue,,,Africa/Lagos
16/12/2009,00:30,AUD,red,0.2%,0.4%,0.6%,Wed,,,Africa/Lagos
16/12/2009,01:00,AUD,orange,,,,Wed,,,Africa/Lagos
16/12/2009,02:18,CNY,yellow,-9.9%,,-12.6%,Wed,,,Africa/Lagos
16/12/2009,08:00,EUR,orange,54.4,54.7,54.4,Wed,,,Africa/Lagos
16/12/2009,,EUR,orange,59.3,60.1,60.9,Wed,,,Africa/Lagos
16/12/2009,08:30,EUR,orange,53.1,52.6,52.4,Wed,,,Africa/Lagos
16/12/2009,,EUR,orange,53.1,51.9,51.4,Wed,,,Africa/Lagos
16/12/2009,,GBP,orange,,,,Wed,,,Africa/Lagos
16/12/2009,09:00,EUR,orange,51.6,51.5,51.2,Wed,,,Africa/Lagos
16/12/2009,,EUR,orange,53.7,53.3,53.0,Wed,,,Africa/Lagos
16/12/2009,09:30,GBP,red,-6.3K,13.9K,5.9K,Wed,,,Africa/Lagos
16/12/2009,,GBP,orange,1.5%,1.3%,1.4%,Wed,,,Africa/Lagos
16/12/2009,,GBP,yellow,7.9%,7.9%,7.8%,Wed,,,Africa/Lagos
16/12/2009,10:00,EUR,orange,1.0%,1.2%,1.2%,Wed,,,Africa/Lagos
16/12/2009,,EUR,orange,0.5%,0.6%,0.6%,Wed,,,Africa/Lagos
16/12/2009,,EUR,yellow,-0.71B,-0.63B,-0.91B,Wed,,,Africa/Lagos
16/12/2009,12:30,USD,red,1.8%,1.8%,-0.2%,Wed,,,Africa/Lagos
16/12/2009,13:30,CAD,orange,2.0%,1.0%,1.0%,Wed,,,Africa/Lagos
16/12/2009,,USD,red,0.58M,0.58M,0.55M,Wed,,,Africa/Lagos
16/12/2009,,USD,red,0.0%,0.1%,0.2%,Wed,,,Africa/Lagos
16/12/2009,,USD,orange,0.4%,0.4%,0.3%,Wed,,,Africa/Lagos
16/12/2009,,USD,orange,-108B,-107B,-98B,Wed,,,Africa/Lagos
16/12/2009,,USD,orange,0.57M,0.59M,0.53M,Wed,,,Africa/Lagos
16/12/2009,14:30,GBP,orange,,,,Wed,,,Africa/Lagos
16/12/2009,15:30,USD,orange,-3.7M,-2.1M,-3.8M,Wed,,,Africa/Lagos
16/12/2009,18:05,CAD,orange,,,,Wed,,,Africa/Lagos
16/12/2009,19:15,USD,red,<0.25%,<0.25%,<0.25%,Wed,,,Africa/Lagos
16/12/2009,,USD,red,,,,Wed,,,Africa/Lagos
16/12/2009,21:47,NZD,yellow,116.9,,120.3,Wed,,,Africa/Lagos
17/12/2009,00:30,AUD,yellow,,,,Thu,,,Africa/Lagos
17/12/2009,02:00,NZD,red,38.5,,43.4,Thu,,,Africa/Lagos
17/12/2009,09:15,EUR,yellow,7.8%,7.7%,7.5%,Thu,,,Africa/Lagos
17/12/2009,09:30,GBP,red,-0.3%,0.5%,0.6%,Thu,,,Africa/Lagos
17/12/2009,,GBP,orange,2.4%,,2.4%,Thu,,,Africa/Lagos
17/12/2009,10:00,CHF,orange,54.0,,56.4,Thu,,,Africa/Lagos
17/12/2009,11:00,GBP,red,13,14,13,Thu,,,Africa/Lagos
17/12/2009,12:00,CAD,red,0.4%,0.2%,0.1%,Thu,,,Africa/Lagos
17/12/2009,,CAD,orange,0.5%,0.3%,-0.1%,Thu,,,Africa/Lagos
17/12/2009,13:30,CAD,orange,5.81B,8.11B,13.27B,Thu,,,Africa/Lagos
17/12/2009,,USD,red,480K,466K,473K,Thu,,,Africa/Lagos
17/12/2009,15:00,USD,red,20.4,16.2,16.7,Thu,,,Africa/Lagos
17/12/2009,,USD,yellow,0.9%,0.8%,0.3%,Thu,,,Africa/Lagos
17/12/2009,15:30,USD,yellow,-207B,-175B,-64B,Thu,,,Africa/Lagos
18/12/2009,00:01,GBP,orange,-19,-18,-17,Fri,,,Africa/Lagos
18/12/2009,,GBP,yellow,,,,Fri,,,Africa/Lagos
18/12/2009,03:13,JPY,orange,,,,Fri,,,Africa/Lagos
18/12/2009,,JPY,orange,0.10%,0.10%,0.10%,Fri,,,Africa/Lagos
18/12/2009,07:00,EUR,orange,0.1%,0.2%,0.0%,Fri,,,Africa/Lagos
18/12/2009,07:19,JPY,red,,,,Fri,,,Africa/Lagos
18/12/2009,09:00,EUR,red,94.7,94.6,93.9,Fri,,,Africa/Lagos
18/12/2009,,EUR,orange,-4.6B,-2.3B,-5.0B,Fri,,,Africa/Lagos
18/12/2009,09:30,GBP,red,20.3B,23.1B,10.2B,Fri,,,Africa/Lagos
18/12/2009,,GBP,orange,63K,64K,61K,Fri,,,Africa/Lagos
18/12/2009,,GBP,yellow,0.0%,1.4%,1.7%,Fri,,,Africa/Lagos
18/12/2009,,GBP,yellow,-0.6%,-2.8%,-3.0%,Fri,,,Africa/Lagos
18/12/2009,10:00,EUR,yellow,6.3B,5.7B,4.3B,Fri,,,Africa/Lagos
18/12/2009,11:00,EUR,yellow,,,,Fri,,,Africa/Lagos
18/12/2009,13:30,CAD,orange,0.3%,0.4%,0.1%,Fri,,,Africa/Lagos
20/12/2009,21:45,NZD,yellow,-3.7%,,-0.7%,Sun,,,Africa/Lagos
20/12/2009,23:50,JPY,orange,0.49T,0.27T,0.46T,Sun,,,Africa/Lagos
21/12/2009,00:30,AUD,yellow,5.5%,,3.3%,Mon,,,Africa/Lagos
21/12/2009,02:00,NZD,yellow,1.6%,,-0.3%,Mon,,,Africa/Lagos
21/12/2009,04:37,JPY,yellow,1.2%,1.1%,-0.7%,Mon,,,Africa/Lagos
21/12/2009,05:00,JPY,orange,,,,Mon,,,Africa/Lagos
21/12/2009,10:00,CHF,yellow,,,,Mon,,,Africa/Lagos
21/12/2009,13:30,CAD,red,0.2%,0.4%,1.0%,Mon,,,Africa/Lagos
21/12/2009,,CAD,orange,0.8%,0.8%,1.1%,Mon,,,Africa/Lagos
21/12/2009,21:45,NZD,red,-1.41B,-2.25B,0.12B,Mon,,,Africa/Lagos
21/12/2009,23:00,AUD,orange,-0.3%,,0.0%,Mon,,,Africa/Lagos
22/12/2009,07:00,EUR,orange,3.3,3.6,3.6,Tue,,,Africa/Lagos
22/12/2009,,JPY,orange,,,,Tue,,,Africa/Lagos
22/12/2009,07:15,CHF,orange,2.14B,2.79B,2.44B,Tue,,,Africa/Lagos
22/12/2009,All Day,All,yellow,,,,Tue,,,Africa/Lagos
22/12/2009,09:30,GBP,red,-4.7B,-8.1B,-4.4B,Tue,,,Africa/Lagos
22/12/2009,,GBP,orange,-0.2%,-0.1%,-0.3%,Tue,,,Africa/Lagos
22/12/2009,13:30,USD,orange,2.2%,2.8%,2.8%,Tue,,,Africa/Lagos
22/12/2009,,USD,yellow,0.4%,0.5%,0.5%,Tue,,,Africa/Lagos
22/12/2009,14:00,EUR,orange,-7.9,-5.5,-8.8,Tue,,,Africa/Lagos
22/12/2009,14:59,USD,yellow,-4,4,1,Tue,,,Africa/Lagos
22/12/2009,15:00,USD,red,6.54M,6.29M,6.09M,Tue,,,Africa/Lagos
22/12/2009,15:02,USD,yellow,0.6%,0.2%,-0.4%,Tue,,,Africa/Lagos
22/12/2009,21:45,NZD,red,0.2%,0.4%,0.2%,Tue,,,Africa/Lagos
23/12/2009,All Day,JPY,gray,,,,Wed,,,Africa/Lagos
23/12/2009,07:00,EUR,yellow,0.4%,0.2%,0.5%,Wed,,,Africa/Lagos
23/12/2009,07:45,EUR,orange,-0.1%,0.3%,1.0%,Wed,,,Africa/Lagos
23/12/2009,09:00,EUR,yellow,0.0%,0.2%,0.0%,Wed,,,Africa/Lagos
23/12/2009,09:30,GBP,red,0-0-9,0-0-9,8-0-1,Wed,,,Africa/Lagos
23/12/2009,,GBP,red,0-0-9,0-0-9,0-0-9,Wed,,,Africa/Lagos
23/12/2009,,GBP,orange,44.7K,43.3K,42.6K,Wed,,,Africa/Lagos
23/12/2009,,GBP,yellow,-0.2%,0.3%,-0.2%,Wed,,,Africa/Lagos
23/12/2009,13:30,CAD,red,0.2%,0.3%,0.4%,Wed,,,Africa/Lagos
23/12/2009,,USD,orange,0.0%,0.1%,0.2%,Wed,,,Africa/Lagos
23/12/2009,,USD,orange,0.5%,0.6%,0.6%,Wed,,,Africa/Lagos
23/12/2009,,USD,yellow,0.4%,0.4%,0.3%,Wed,,,Africa/Lagos
23/12/2009,14:55,USD,orange,72.5,74.0,73.4,Wed,,,Africa/Lagos
